developer,avg_metascore,avg_user_score,num_games
Creative Assembly,79.0,7.068292675948724,41
ONE MORE LEVEL,79.0,7.524999976158142,4
U.S. Army,79.0,5.833333333333333,3
Clifftop Games,79.0,7.3666666348775225,3
United Front Games,79.0,8.033333460489908,3
Relentless Software,79.0,7.300000031789144,3
Acclaim Studios Austin,79.0,7.633333524068196,3
KCET,78.91666666666667,7.633333345254262,24
Rare Ltd.,78.84615384615384,7.865384578704834,26
Capy Games,78.8,6.240000057220459,5
THE BROTHERHOOD,78.75,7.3500001430511475,4
Falcom,78.71428571428571,8.15714286622547,21
Alientrap,78.66666666666667,7.433333396911621,3
id Software,78.66666666666667,7.694444470935398,18
Xeen,78.66666666666667,7.96666685740153,3
Amusement Vision,78.66666666666667,8.050000031789144,6
Hi-Rez Studios,78.66666666666667,7.166666666666667,3
Code Force,78.66666666666667,7.833333333333333,3
Free Lives,78.66666666666667,7.866666475931804,3
Visual Concepts,78.62857142857143,5.87142859186445,35
Insomniac Games,78.56521739130434,7.678260823954707,23
Nadeo,78.55555555555556,7.399999989403619,9
Zen Studios,78.42424242424242,6.154545437205922,33
Guerrilla,78.4,7.270000028610229,10
Camelot Software Planning,78.4,7.686666647593181,15
Torn Banner Studios,78.33333333333333,5.599999904632568,3
Spiderweb Software,78.33333333333333,7.599999904632568,3
2K Marin,78.33333333333333,7.833333333333333,3
SNK,78.25,7.5000001192092896,4
Katauri Interactive,78.25,8.12500011920929,4
Impressions Games,78.25,7.075000047683716,4
HexaDrive,78.25,7.974999904632568,4
Massive Entertainment,78.22222222222223,6.64444445239173,9
Arkane Studios,78.18181818181819,7.845454562794078,11
PlatinumGames,78.16666666666667,7.770833343267441,24
Wadjet Eye Games,78.16666666666667,7.5,6
Cyan Worlds,78.125,7.037499904632568,8
SCEA San Diego Studios,78.0909090909091,7.345454562794078,11
Ska Studios,78.0,6.966666539510091,3
Terrible Posture Games,78.0,6.399999936421712,3
Ubisoft Montpellier,78.0,7.4454546408219775,11
RedLynx,78.0,7.16666661368476,9
Llamasoft,78.0,7.674999952316284,4
Ensemble Studios,78.0,8.31999979019165,5
Jackbox Games,78.0,7.442857197352818,7
Q Entertainment,77.88888888888889,6.500000026490953,9
PopCap,77.8125,6.9000000059604645,16
Crackshell,77.66666666666667,7.800000031789144,3
KCEO,77.66666666666667,8.100000063578287,3
Thunder Lotus Games,77.66666666666667,7.266666730244954,3
Kojima Productions,77.625,7.199999988079071,8
Game Arts,77.6,7.860000038146973,10
Eugen Systems,77.6,7.540000057220459,5
Codemasters,77.51515151515152,6.754545457435377,33
LucasArts,77.5,7.50499997138977,20
Namco,77.47222222222223,7.9000000556310015,36
Crystal Dynamics,77.4,7.899999968210856,15
Robot Entertainment,77.4,7.240000152587891,5
Overworks,77.33333333333333,8.600000063578287,3
Vblank Entertainment Inc.,77.33333333333333,6.766666571299235,3
Carbonated Games,77.33333333333333,6.5333333015441895,3
Firesprite,77.33333333333333,6.766666571299235,3
Troika Games,77.33333333333333,8.433333396911621,3
Blue Castle Games,77.33333333333333,7.199999809265137,3
Sony Online Entertainment,77.3076923076923,6.21153842485868,26
Harmonix Music Systems,77.3,7.179999995231628,20
Ninja Theory,77.25,6.949999988079071,8
Overhaul Games,77.2,6.420000076293945,5
Io Interactive,77.19047619047619,7.166666643960135,21
Colossal Order,77.125,7.149999886751175,8
inkle,77.0,7.333333333333333,3
Surreal Software,77.0,7.8666666348775225,3
Introversion,77.0,7.140000057220459,5
Team Reptile,77.0,7.900000095367432,4
Logic Artists,77.0,7.9666666984558105,3
Angel Studios,76.83333333333333,6.666666626930237,6
Splash Damage,76.8,7.679999923706054,5
Zeboyd Games,76.8,7.280000019073486,5
Two Tribes,76.8,7.039999961853027,5
Zachtronics Industries,76.75,7.824999809265137,4
Owlcat Games,76.75,6.875,4
Bluepoint Games,76.75,7.700000286102295,4
Obsidian Entertainment,76.73076923076923,7.230769249109121,26
Harebrained Schemes LLC,76.71428571428571,7.028571333203997,7
DONTNOD Entertainment,76.7,7.010000085830688,20
Ignition Entertainment,76.66666666666667,7.600000063578288,3
Quantic Dream,76.66666666666667,8.366666952768961,6
Red Barrels,76.66666666666667,7.799999872843425,3
Signal Studios,76.66666666666667,8.133333206176758,3
SkyGoblin,76.66666666666667,7.233333428700765,3
Stardock,76.61111111111111,6.633333338631524,18
Paradox Development Studio,76.60606060606061,7.536363659483014,33
EA Canada,76.6046511627907,6.5488372181737144,43
FuturLab,76.6,6.370000004768372,10
Halfbrick Studios,76.5,6.716666618982951,6
HAL Labs,76.48148148148148,8.06296302654125,27
Bizarre Creations,76.46153846153847,7.423076923076923,13
Nixxes Software,76.4,7.1200000762939455,5
New World Interactive,76.33333333333333,8.133333365122477,3
Certain Affinity,76.33333333333333,6.799999872843425,3
EA LA,76.33333333333333,7.146666638056437,15
Press Play,76.33333333333333,6.400000095367432,3
Just Add Water,76.33333333333333,7.399999936421712,3
Million,76.33333333333333,7.6333333651224775,3
Brainwash Gang,76.25,6.899999976158142,4
SimBin,76.25,7.199999928474426,8
Silicon Studio,76.25,7.7749998569488525,4
5pb,76.25,8.074999988079071,8
Good-Feel,76.2,7.500000095367431,5
Revolution Software,76.16666666666667,7.549999952316284,6
M2,76.16129032258064,7.5290322919045725,31
Criterion Games,76.125,7.0,16
Incognito Inc.,76.125,7.062499940395355,8
Infinity Ward,76.0625,4.80624994635582,16
Illusion Softworks,76.0,7.8500001430511475,4
Nifflas Games,76.0,7.0333333015441895,3
Her Interactive,76.0,6.938461597149189,13
Q-Games,76.0,7.05714293888637,14
French-Bread,76.0,7.575000166893005,4
Double Fine Productions,76.0,7.091304291849551,23
Total Mayhem Games,76.0,7.5,4
Bugbear,76.0,8.120000076293945,5
indieszero,75.9090909090909,6.745454528115013,11
InXile Entertainment,75.8,7.159999990463257,10
17-Bit,75.75,7.449999928474426,4
Curve Studios,75.75,7.424999952316284,4
ZeniMax Media,75.72727272727273,5.718181826851585,11
Team Ninja,75.66666666666667,7.907407407407407,27
FreakZone,75.66666666666667,7.800000031789144,3
SkyBox Labs,75.66666666666667,6.9666666984558105,3
FreeStyleGames,75.66666666666667,6.300000031789144,3
Fabraz,75.66666666666667,7.50000015894572,3
Unfinished Pixel,75.66666666666667,7.700000127156575,3
