publisher,avg_metascore,avg_user_score,gap
KRAFTON Inc.,77.0,5.450000047683716,22.499999523162842
Tale of Tales,69.0,4.666666666666667,22.33333333333333
hell-tech,59.0,8.100000381469727,22.000003814697266
Black Element Software,46.0,6.800000190734863,22.000001907348633
Teotl Studios,69.0,4.699999809265137,22.000001907348633
Better Than Life,73.0,5.099999904632568,22.000000953674316
XeniosVision,22.0,4.400000095367432,22.000000953674316
Clear River Games,68.0,4.599999904632568,22.000000953674316
Desarrollos Tecnologicos y de Entretenimiento S.A. de C.V.,58.0,3.5999999046325684,22.000000953674316
Digital Domain,67.0,4.5,22.0
Cassel Games,82.0,6.0,22.0
Gamerizon,67.0,4.5,22.0
ITE Media,58.0,8.0,22.0
Coresoft Inc.,18.0,4.0,22.0
Gambrinous,72.0,5.0,22.0
Screwtape Studios,66.0,4.400000095367432,21.999999046325684
Krewe Studios,49.0,7.099999904632568,21.999999046325684
"LegionVR, LLC",81.0,5.900000095367432,21.999999046325684
Kinmoku,90.0,6.800000190734863,21.999998092651367
Destination Software,70.0,9.199999809265137,21.999998092651367
PLAION,64.0,4.233333269755046,21.66666730244954
Wargaming.net,71.8,5.019999885559082,21.600001144409177
Samustai,52.5,7.400000095367432,21.500000953674316
Droqen,83.0,6.199999809265137,21.000001907348633
Gotham Games,32.0,5.300000190734863,21.000001907348633
Auroch Digital,78.0,5.699999809265137,21.000001907348633
Neverland Entertainment,83.0,6.199999809265137,21.000001907348633
Innonics,62.0,8.300000190734863,21.000001907348633
Gamedust,55.5,7.650000095367432,21.000000953674316
Lo-Fi People,87.0,6.599999904632568,21.000000953674316
Interchannel-Holon,67.0,4.599999904632568,21.000000953674316
EmuraSoft,49.0,7.0,21.0
eXtend,86.0,6.5,21.0
I-FRIQIYA,51.0,3.0,21.0
Tripwire Presents,78.5,5.75,21.0
Arcade Distillery,43.0,2.200000047683716,20.999999523162842
Escape Hatch Entertainment,50.0,2.9000000953674316,20.999999046325684
D'Avekki Studios Limited,74.0,5.300000190734863,20.999998092651367
Scraping Bottom Games,64.0,4.300000190734863,20.999998092651367
Mindfield Games,64.0,4.300000190734863,20.999998092651367
Irem,56.0,7.699999809265137,20.999998092651367
U.S. Army,79.0,5.833333333333333,20.66666666666667
"Phosphor Games Studio, LLC",58.5,3.7999998927116394,20.500001072883606
Pacific Century Cyber Works,69.5,4.900000214576721,20.499997854232788
Red Column,49.0,6.900000095367432,20.000000953674316
Codestalkers,49.0,6.900000095367432,20.000000953674316
Infinite State Games,76.0,5.599999904632568,20.000000953674316
Route 59,81.0,6.099999904632568,20.000000953674316
Colossal Studios,60.0,8.0,20.0
Graphsim Entertainment,90.0,7.0,20.0
Magnum Games,42.0,2.200000047683716,19.999999523162842
Pathos Interactive,51.0,7.099999904632568,19.999999046325684
Motion Twin,87.33333333333333,6.733333428700765,19.999999046325684
FuRyu,66.0,8.599999904632568,19.999999046325684
Richard Hofmeier,79.0,5.900000095367432,19.999999046325684
Peter Stock,88.0,6.800000190734863,19.999998092651367
Elastic Games,73.0,5.300000190734863,19.999998092651367
Capy Games,79.33333333333333,5.96666685740153,19.666664759318024
Natsume,46.0,6.550000190734863,19.500001907348633
EA Sports,79.1,5.966666682561239,19.433333174387606
Chubby Pixel,53.333333333333336,7.266666571299235,19.33333237965902
Takara Tomy,42.0,6.133333206176758,19.333332061767578
Hazardous Software,54.0,7.300000190734863,19.000001907348633
Big City Games,39.0,5.800000190734863,19.000001907348633
Trecision,59.0,7.800000190734863,19.000001907348633
Mandragora,54.0,7.300000190734863,19.000001907348633
Creability,39.0,5.800000190734863,19.000001907348633
Fireplace Games,76.0,5.699999809265137,19.000001907348633
Mythic Entertainment,85.33333333333333,6.633333206176758,19.00000127156575
"Big Sandwich Games, Inc.",75.0,5.599999904632568,19.000000953674316
Horberg Productions,75.0,5.599999904632568,19.000000953674316
Ertain,61.0,8.0,19.0
Office Create,56.0,7.5,19.0
Honeyslug Ltd,69.0,5.0,19.0
XS Games,43.0,2.4000000059604645,18.999999940395355
Moonbite Games,32.0,5.099999904632568,18.999999046325684
Dream Execution,53.0,3.4000000953674316,18.999999046325684
Otomate,83.0,6.400000095367432,18.999999046325684
Expansive Worlds,63.0,4.400000095367432,18.999999046325684
Sandbox Interactive,72.0,5.300000190734863,18.999998092651367
Libredia Entertainment,63.0,8.199999809265137,18.999998092651367
IahGames,65.0,8.399999618530273,18.999996185302734
Nacon,65.0,4.630769243607154,18.69230756392846
Cypronia,47.0,6.550000190734863,18.500001907348633
Springloaded,63.5,4.5,18.5
Happion Laboratories,41.5,6.0,18.5
Cygames,84.0,6.550000190734863,18.499998092651367
Ice-Pick Lodge,63.0,8.100000381469727,18.000003814697266
REBUSMIND,85.0,6.699999809265137,18.000001907348633
Triskell Interactive,65.0,8.300000190734863,18.000001907348633
Sassybot,69.0,5.099999904632568,18.000000953674316
Navarre Corp,56.0,3.799999952316284,18.000000476837158
Pixel Hero Games,46.0,2.799999952316284,18.000000476837158
Dovetail Games,72.75,5.474999964237213,18.00000035762787
Drifter Entertainment,83.0,6.5,18.0
Radical Phi,67.0,8.5,18.0
Codo Games,73.0,5.5,18.0
Daniel Wright,83.0,6.5,18.0
Mommy's Best Games,83.0,6.5,18.0
Playniac,87.0,6.900000095367432,17.999999046325684
Takara,33.0,5.099999904632568,17.999999046325684
Grimorio of Games,58.0,7.599999904632568,17.999999046325684
Brainy Studio LLC,67.0,4.900000095367432,17.999999046325684
Cohort Studios,76.0,5.800000190734863,17.999998092651367
Longbow Digital Arts,66.0,8.399999618530273,17.999996185302734
Nkidu Games Inc.,57.5,7.5,17.5
Zen Studios,78.03571428571429,6.067857129233224,17.35714299338205
YBM Sisa,56.666666666666664,7.400000095367432,17.333334287007652
Blendo Games,81.33333333333333,6.399999936421712,17.33333396911621
Targem Games,66.0,8.300000190734863,17.000001907348633
Eiconic Games,69.0,5.199999809265137,17.000001907348633
Alliance,74.0,5.699999809265137,17.000001907348633
Nordcurrent,79.0,6.199999809265137,17.000001907348633
In Vitro Games,59.0,4.199999809265137,17.000001907348633
Zombie Cow Studios,84.0,6.699999809265137,17.000001907348633
neko.works,36.0,5.300000190734863,17.000001907348633
Padaone Games,56.0,7.300000190734863,17.000001907348633
