developer,avg_metascore,avg_user_score,num_games
Witch Beam,82.66666666666667,7.766666571299235,3
Cave,72.5,7.7500001192092896,4
Remedy Entertainment,81.0,7.750000095367431,10
Clap Hanz,79.25,7.75,4
Treasure,80.6923076923077,7.746153868161715,13
Amaze Entertainment,67.33333333333333,7.733333428700765,3
Hero Concept,73.0,7.733333269755046,3
Freebird Games,75.66666666666667,7.733333269755046,3
Square Enix,75.29824561403508,7.72807014197634,57
SCS Software,71.25,7.725000262260437,4
11 bit studios,79.375,7.724999964237213,8
Mimimi Games,81.25,7.724999904632568,4
Jupiter Corporation,72.72222222222223,7.711111148198445,18
Bluepoint Games,76.75,7.700000286102295,4
Doinksoft,73.0,7.700000127156575,3
Unfinished Pixel,75.66666666666667,7.700000127156575,3
Amanita Design,81.16666666666667,7.700000047683716,6
Neverland,66.81818181818181,7.7000000260093,11
id Software,78.66666666666667,7.694444470935398,18
Camelot Software Planning,78.4,7.686666647593181,15
From Software,73.65789473684211,7.681578962426436,38
Splash Damage,76.8,7.679999923706054,5
Insomniac Games,78.56521739130434,7.678260823954707,23
Ghost Town Games Ltd.,82.25,7.675000190734863,4
Llamasoft,78.0,7.674999952316284,4
Experience Inc.,73.77777777777777,7.666666666666667,9
Infogrames Sheffield,62.0,7.666666666666667,3
Runic Games,83.33333333333333,7.666666666666667,3
The Coalition,83.33333333333333,7.666666507720947,3
Alfa System,68.8,7.660000038146973,5
Ganbarion,69.2,7.660000038146973,5
Sandlot,70.2,7.659999942779541,5
Nicalis,80.25,7.65833334128062,12
KCEJ,70.36363636363636,7.654545437205922,11
SCE/WWS,81.25,7.650000214576721,4
Croteam,75.625,7.650000095367432,8
Cattle Call,68.25,7.650000095367432,4
Schell Games,85.0,7.639999961853027,5
Stormregion,72.2,7.639999961853027,5
Klei Entertainment,81.27272727272727,7.636363723061302,11
Coldwood Interactive,62.333333333333336,7.633333524068196,3
Acclaim Studios Austin,79.0,7.633333524068196,3
Failbetter Games,82.0,7.633333524068196,3
Gamedust,57.666666666666664,7.6333333651224775,3
Massive Monster,79.33333333333333,7.6333333651224775,3
Million,76.33333333333333,7.6333333651224775,3
KCET,78.91666666666667,7.633333345254262,24
Fireglow,69.0,7.633333206176758,3
Southend Interactive,73.28571428571429,7.628571510314941,7
Inti Creates,75.11764705882354,7.623529462253346,17
Otomate,80.88888888888889,7.622222158643934,9
Best Way,73.8,7.6200000762939455,5
Snowblind Studios,72.5,7.616666714350383,6
Cygames,80.0,7.600000222524007,3
Ignition Entertainment,76.66666666666667,7.600000063578288,3
Code Mystics Inc.,75.0,7.600000040871756,7
Spiderweb Software,78.33333333333333,7.599999904632568,3
Bec,59.666666666666664,7.583333293596904,12
Playground Games,82.64285714285714,7.578571455819266,14
French-Bread,76.0,7.575000166893005,4
The Game Bakers,72.66666666666667,7.566666762034099,3
Page 44 Studios,69.66666666666667,7.566666762034099,3
Infogrames,67.66666666666667,7.566666603088379,3
TopWare Interactive,74.66666666666667,7.566666603088379,3
Omega Force,67.60714285714286,7.5660713996206015,56
SNK Playmore,68.28571428571429,7.564285755157471,14
SCE Studio Cambridge,64.6,7.559999942779541,5
Turn 10,86.6,7.55999984741211,5
Tecmo,73.08333333333333,7.5583333770434065,12
Running With Scissors,54.75,7.550000190734863,4
Genki,66.0,7.550000095367432,10
Frictional Games,75.625,7.550000071525574,8
Revolution Software,76.16666666666667,7.549999952316284,6
Bullets,72.25,7.549999833106995,4
Matrix Software,72.2,7.540000057220459,10
Eugen Systems,77.6,7.540000057220459,5
Paradox Development Studio,76.60606060606061,7.536363659483014,33
Tikipod Limited,73.66666666666667,7.533333460489909,3
Success,61.333333333333336,7.533333460489909,3
Night School Studio,82.0,7.533333460489909,3
SFB Games,79.0,7.5333333015441895,3
Reflexive Entertainment,68.0,7.5333333015441895,3
Sony Bend,71.16666666666667,7.53333322207133,6
M2,76.16129032258064,7.5290322919045725,31
ONE MORE LEVEL,79.0,7.524999976158142,4
Sting,69.11111111111111,7.522222306993273,9
Ready at Dawn,80.4,7.520000076293945,5
QLOC,81.5,7.516666809717814,6
LucasArts,77.5,7.50499997138977,20
Bulwark Studios,73.0,7.50000015894572,3
Fabraz,75.66666666666667,7.50000015894572,3
SNK,78.25,7.5000001192092896,4
Good-Feel,76.2,7.500000095367431,5
Core Design Ltd.,74.6,7.500000095367431,5
People Can Fly,74.2,7.5,5
AWE Games,64.66666666666667,7.5,3
The Game Kitchen,81.0,7.5,4
Armature Studio,68.66666666666667,7.5,3
Wadjet Eye Games,78.16666666666667,7.5,6
Total Mayhem Games,76.0,7.5,4
Shin'en,72.58333333333333,7.491666674613953,12
Marvelous Inc.,71.875,7.487500071525574,8
Etranges Libellules,58.0,7.4750001430511475,4
Epic Games,86.8,7.469999933242798,10
Sierra Entertainment,75.33333333333333,7.46666685740153,3
2K Czech,64.0,7.4666666984558105,3
Terri Vellimann,74.66666666666667,7.466666539510091,3
CyberConnect2,70.66666666666667,7.462500015894572,24
Evolution Studios,75.6,7.460000133514404,5
SCE Japan Studio,74.2,7.460000076293945,25
Double Eleven,81.8,7.460000038146973,5
Bohemia Interactive,67.125,7.450000047683716,8
17-Bit,75.75,7.449999928474426,4
Ubisoft Montpellier,78.0,7.4454546408219775,11
Sega AM2,74.54545454545455,7.4454545757987285,11
Jackbox Games,78.0,7.442857197352818,7
Alientrap,78.66666666666667,7.433333396911621,3
CreativeForge Games,71.33333333333333,7.433333396911621,3
Shiny Entertainment,65.0,7.433333396911621,3
Over The Moon,74.66666666666667,7.433333396911621,3
Access Games,68.66666666666667,7.433333317438762,6
Mucky Foot Productions,62.333333333333336,7.433333237965901,3
Urban Games,71.33333333333333,7.433333237965901,3
Cooking Mama Limited,59.333333333333336,7.433333237965901,3
Cloudhead Games,82.66666666666667,7.433333237965901,3
Amplitude Studios,74.57142857142857,7.428571496691022,7
Curve Studios,75.75,7.424999952316284,4
Bizarre Creations,76.46153846153847,7.423076923076923,13
Skybound Games,74.0,7.4142857279096335,7
EA Black Box,79.88888888888889,7.411111195882161,9
Pandemic Studios,72.88888888888889,7.411111036936442,9
Zono Inc.,62.333333333333336,7.400000095367432,3
Cosmo D Studios,81.33333333333333,7.400000095367432,3
Hothead Games,73.83333333333333,7.400000015894572,6
Deadline Games,61.0,7.4,5
Image & Form,81.2,7.4,5
Nadeo,78.55555555555556,7.399999989403619,9
Red Thread Games,71.75,7.399999976158142,4
Wideload Games Inc.,68.33333333333333,7.399999936421712,3
Just Add Water,76.33333333333333,7.399999936421712,3
5TH Cell,74.33333333333333,7.383333444595337,6
Frozenbyte,74.46153846153847,7.376923084259033,13
Night Dive Studios,71.0,7.3714286259242465,7
Relic Entertainment,82.0,7.371428614570981,21
Pterodon,69.33333333333333,7.366666793823242,3
Suzak,65.66666666666667,7.366666793823242,3
Airship Syndicate Entertainment,79.33333333333333,7.366666793823242,3
Marvelous Entertainment,71.0,7.366666793823242,9
Blue Fang Games,63.833333333333336,7.366666714350383,6
FuRyu,65.66666666666667,7.3666666348775225,3
D3T,70.66666666666667,7.3666666348775225,3
Clifftop Games,79.0,7.3666666348775225,3
Vivarium,71.33333333333333,7.3666666348775225,3
Aquria,67.0,7.3666666348775225,3
Monolith Productions,75.6,7.365000057220459,20
Bethesda Softworks,82.75,7.362499892711639,8
NExT Studios,73.6,7.360000038146973,5
Infinite Interactive,68.2,7.3599998474121096,5
343 Industries,82.85714285714286,7.357142925262451,7
Headstrong Games,72.0,7.3555555873447,9
THE BROTHERHOOD,78.75,7.3500001430511475,4
SCEA San Diego Studios,78.0909090909091,7.345454562794078,11
Gas Powered Games,74.42857142857143,7.342857088361468,7
Stormfront Studios,68.0,7.340000057220459,5
inkle,77.0,7.333333333333333,3
Ankama Games,71.33333333333333,7.333333333333333,3
Novarama,69.66666666666667,7.333333333333333,3
COWCAT,68.33333333333333,7.333333333333333,3
Raven Software,75.5,7.330000019073486,10
GSC Game World,66.3,7.329999947547913,10
K2 LLC,62.0,7.325000047683716,4
Paradox Interactive,74.875,7.324999988079071,8
Horberg Productions,80.75,7.324999928474426,4
Idea Factory,65.46153846153847,7.323076871725229,13
Sonic Team,70.6470588235294,7.317647064433379,34
Arcen Games,70.0,7.314285687037876,7
Capcom,75.29133858267717,7.309448792239812,127
Psikyo,66.66666666666667,7.300000190734863,3
WinkySoft,62.0,7.300000190734863,3
Imageepoch,61.857142857142854,7.300000054495675,7
Anchor (Legacy),70.0,7.300000031789144,3
Skipmore,67.66666666666667,7.300000031789144,3
Razorworks,73.33333333333333,7.300000031789144,3
Relentless Software,79.0,7.300000031789144,3
Pam Development,79.66666666666667,7.300000031789144,3
Artoon,63.57142857142857,7.299999986376081,7
Scott Cawthon,58.333333333333336,7.299999872843425,3
Nival Interactive,70.66666666666667,7.291666666666667,12
Funcom,75.2,7.280000066757202,10
SNK Corporation,74.2,7.280000019073486,5
Zeboyd Games,76.8,7.280000019073486,5
DC Studios,50.75,7.275000095367432,4
Phoenix Online Studios,72.75,7.274999976158142,4
Taito Corporation,68.47368421052632,7.273684225584331,19
Guerrilla,78.4,7.270000028610229,10
Hidden Path Entertainment,80.66666666666667,7.266666730244954,3
Pipe Dream Interactive,60.333333333333336,7.266666730244954,3
Thunder Lotus Games,77.66666666666667,7.266666730244954,3
Chubby Pixel,53.333333333333336,7.266666571299235,3
Ascaron Entertainment,74.55555555555556,7.255555576748318,9
Now Production,66.66666666666667,7.255555523766412,9
Griptonite Games,64.53846153846153,7.253846241877629,13
Nippon Ichi Software,70.8780487804878,7.251219505217017,41
Red Dot Games,68.5,7.2500001192092896,4
Free Radical Design,75.0,7.2500001192092896,4
Opus,71.66666666666667,7.25,6
Sega Sports R&D,63.25,7.25,4
Skip Ltd.,65.25,7.2499998807907104,4
Robot Entertainment,77.4,7.240000152587891,5
Soldak Entertainment,74.0,7.2399999618530275,5
TOSE,73.1875,7.239583348234494,48
Blue Byte,66.625,7.237500011920929,8
SkyGoblin,76.66666666666667,7.233333428700765,3
Liquid Entertainment,64.83333333333333,7.233333269755046,6
XDEV,73.66666666666667,7.233333269755046,3
Sobaka,67.66666666666667,7.233333269755046,3
1C Entertainment,68.0,7.230769304128794,13
Obsidian Entertainment,76.73076923076923,7.230769249109121,26
Cryptic Studios,74.75,7.225000023841858,4
Piranha Bytes,70.85714285714286,7.214285714285714,7
Tarsier Studios,75.42857142857143,7.214285714285714,7
Artifex Mundi,68.33333333333333,7.200000127156575,3
Warhorse Studios,69.33333333333333,7.200000127156575,3
Barnhouse Effect,55.333333333333336,7.200000127156575,3
Vertex Pop,71.66666666666667,7.200000127156575,3
Tantalus,71.8,7.2000000953674315,5
Asobo Studio,73.6,7.2000000953674315,5
Marvelous First Studio,73.0,7.200000047683716,4
Kojima Productions,77.625,7.199999988079071,8
Two Point Studios,83.66666666666667,7.199999968210856,3
Die Gute Fabrik,80.25,7.199999928474426,4
SimBin,76.25,7.199999928474426,8
Hellbent Games,60.666666666666664,7.199999809265137,3
Blue Castle Games,77.33333333333333,7.199999809265137,3
