genre,avg_metascore,avg_user_score,num_games,gap
Tennis,67.01298701298701,6.661194032697535,260,-0.4010466860116537
Action Adventure,68.04673495518566,6.762720865797519,4491,-0.4195262972104672
Survival,67.91071428571429,6.744284142218075,3285,-0.4678728635335432
Vehicle Combat Sim,65.72727272727273,6.522500004246831,720,-0.5022726848044243
Trainer RPG,74.95384615384616,7.443999996185303,205,-0.5138461919931245
Aircraft Combat Sim,67.13450292397661,6.659440578280629,792,-0.540097141170321
Light Gun,64.35106382978724,6.369306943794288,991,-0.6579943918443547
Compilation,73.51244813278008,7.262316733249122,4542,-0.8892808002888586
2D Platformer,70.91277041172366,6.998088799224094,10400,-0.9318824194827187
Space Combat Sim,70.01052631578948,6.906542076128665,475,-0.9451055545028311
JRPG,73.68905950095969,7.257012209514293,2995,-1.1189374058167658
Linear Action Adventure,70.70704225352112,6.954698828185897,787,-1.1600539716621512
Auto Racing,67.19597989949749,6.5960199202273415,2550,-1.2357806972240724
Marine Combat Sim,70.9090909090909,6.96666665871938,127,-1.2424243218971043
Visual Novel,74.18686868686869,7.266016737436019,10195,-1.526701312508493
Dancing,68.54444444444445,6.693975911082991,314,-1.6046853336145404
Vertical Shoot-'Em-Up,68.82608695652173,6.717894756166559,1903,-1.64713939485614
Top-Down Shoot-'Em-Up,68.61581920903954,6.695354538908215,3939,-1.6622738199573917
Virtual Career,65.38011695906432,6.338756003163078,1420,-1.9925569274335473
Real-Time Tactics,73.96,7.1945652391599575,386,-2.0143476084004135
Roguelike,71.3804347826087,6.934482779996149,538,-2.0356069826472236
Trivia,60.50909090909091,5.8413793095226945,821,-2.095297813863965
Application,67.91666666666667,6.570588231086731,527,-2.210784355799362
Action RPG,71.29503676470588,6.902980641008045,2950,-2.26523035462543
Virtual Pet,66.375,6.395833323399226,352,-2.4166667660077366
Biking,63.63636363636363,6.108571437426976,144,-2.550649262093877
Horizontal Shoot-'Em-Up,73.5037037037037,7.091970797002751,1078,-2.583995733676204
Point-and-Click,72.60626029654036,6.999027963976669,2425,-2.615980656773658
Third-Person Adventure,70.50625,6.774509823622823,1126,-2.761151763771764
Adventure,70.91407407407408,6.810798144676316,12089,-2.8060926273109175
Wrestling,67.20535714285714,6.43553722397355,292,-2.849984903121637
Puzzle,68.83141762452107,6.595689678500438,5370,-2.8745208395166912
Skiing,70.76363636363637,6.784210506238435,249,-2.921531301252017
Simulation,66.98,6.392207810631046,877,-3.057921893689546
Turn-Based Tactics,72.95421686746988,6.983940071926893,1847,-3.114816148200944
Team Sports,67.94117647058823,6.4647058318643005,116,-3.294118151945227
Gambling,56.87179487179487,5.355555574099223,1040,-3.3162391308026358
Exercise,69.12,6.567857129233224,157,-3.441428707667768
Action Puzzle,71.04298642533936,6.758780507343571,3645,-3.455181351903647
Rhythm,73.03809523809524,6.952255659981778,1388,-3.5155386382774623
Tycoon,68.53725490196078,6.485664360173098,1931,-3.680611300229799
First-Person Adventure,68.68287037037037,6.497385644177401,3743,-3.709013928596363
Management,72.32786885245902,6.840689652541588,653,-3.9209723270431454
Defense,71.05982905982906,6.711724148125484,1436,-3.9425875785742193
Rugby,54.55555555555556,5.024000005722046,105,-4.315555498335101
Miscellaneous,67.6842105263158,6.333333349890179,1410,-4.350877027414008
2D Fighting,72.54166666666667,6.811516859558191,1628,-4.426498071084765
FPS,70.73319755600815,6.613426589142609,4327,-4.598931664582068
Western RPG,73.29666666666667,6.859038919278632,768,-4.706277473880348
Hunting,56.89655172413793,5.215555572509766,299,-4.740995999040273
Basketball,62.743589743589745,5.779487181932498,165,-4.948717924264763
